# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	340907	341641	+	WP_063453978.1	WP_063453978.1		pirin family protein		66585243	MC195_RS01760	735	244	
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	341759	341834	-						66585244	MC195_RS01765	76		old_locus_tag=MC195_01765
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	341759	341834	-				tRNA-Glu		66585244	MC195_RS01765	76		anticodon=TTC
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	341996	342484	-						66585245	MC195_RS01770	489		old_locus_tag=MC195_01770
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	341996	342484	-	WP_003657554.1	WP_003657554.1		YajQ family cyclic di-GMP-binding protein		66585245	MC195_RS01770	489	162	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	342532	343230	-					rnt	66585246	MC195_RS01775	699		old_locus_tag=MC195_01775
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	342532	343230	-	WP_003670104.1	WP_003670104.1		ribonuclease T	rnt	66585246	MC195_RS01775	699	232	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	343227	344294	-					pyrC	66585247	MC195_RS01780	1068		old_locus_tag=MC195_01780
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	343227	344294	-	WP_003660305.1	WP_003660305.1		dihydroorotase	pyrC	66585247	MC195_RS01780	1068	355	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	344469	345830	-					argG	66585248	MC195_RS01785	1362		old_locus_tag=MC195_01785
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	344469	345830	-	WP_172830169.1	WP_172830169.1		argininosuccinate synthase	argG	66585248	MC195_RS01785	1362	453	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	346032	346532	+						66585249	MC195_RS01790	501		old_locus_tag=MC195_01790
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	346032	346532	+	WP_003657550.1	WP_003657550.1		L,D-transpeptidase		66585249	MC195_RS01790	501	166	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	346681	347649	+						66585250	MC195_RS01795	969		old_locus_tag=MC195_01795
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	346681	347649	+	WP_003657549.1	WP_003657549.1		LysR family transcriptional regulator		66585250	MC195_RS01795	969	322	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	347680	348312	-						66585251	MC195_RS01800	633		old_locus_tag=MC195_01800
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	347680	348312	-	WP_003657548.1	WP_003657548.1		FixH family protein		66585251	MC195_RS01800	633	210	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	348420	349871	-					ccoG	66585252	MC195_RS01805	1452		old_locus_tag=MC195_01805
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	348420	349871	-	WP_003663055.1	WP_003663055.1		cytochrome c oxidase accessory protein CcoG	ccoG	66585252	MC195_RS01805	1452	483	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	350200	350583	-						66585253	MC195_RS01810	384		old_locus_tag=MC195_01810
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	350200	350583	-	WP_003657546.1	WP_003657546.1		SCP2 sterol-binding domain-containing protein		66585253	MC195_RS01810	384	127	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	351192	352673	+					ccoN	66585254	MC195_RS01815	1482		old_locus_tag=MC195_01815
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	351192	352673	+	WP_003657544.1	WP_003657544.1		cytochrome-c oxidase, cbb3-type subunit I	ccoN	66585254	MC195_RS01815	1482	493	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	352684	353322	+					ccoO	66585255	MC195_RS01820	639		old_locus_tag=MC195_01820
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	352684	353322	+	WP_003657543.1	WP_003657543.1		cytochrome-c oxidase, cbb3-type subunit II	ccoO	66585255	MC195_RS01820	639	212	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	353322	353504	+						66585256	MC195_RS01825	183		old_locus_tag=MC195_01825
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	353322	353504	+	WP_003657541.1	WP_003657541.1		cbb3-type cytochrome c oxidase subunit 3		66585256	MC195_RS01825	183	60	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	353501	354568	+					ccoP	66585257	MC195_RS01830	1068		old_locus_tag=MC195_01830
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	353501	354568	+	WP_003660299.1	WP_003660299.1		cytochrome-c oxidase, cbb3-type subunit III	ccoP	66585257	MC195_RS01830	1068	355	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	354738	356372	+						66585258	MC195_RS01835	1635		old_locus_tag=MC195_01835
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	354738	356372	+	WP_003660298.1	WP_003660298.1		CTP synthase		66585258	MC195_RS01835	1635	544	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	356519	357370	+					kdsA	66585259	MC195_RS01840	852		old_locus_tag=MC195_01840
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	356519	357370	+	WP_172798032.1	WP_172798032.1		3-deoxy-8-phosphooctulonate synthase	kdsA	66585259	MC195_RS01840	852	283	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	357452	358744	+					eno	66585260	MC195_RS01845	1293		old_locus_tag=MC195_01845
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	357452	358744	+	WP_036378377.1	WP_036378377.1		phosphopyruvate hydratase	eno	66585260	MC195_RS01845	1293	430	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	358779	359189	+						66585261	MC195_RS01850	411		old_locus_tag=MC195_01850
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	358779	359189	+	WP_003657535.1	WP_003657535.1		septum formation initiator family protein		66585261	MC195_RS01850	411	136	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	359256	359984	+					ispD	66585262	MC195_RS01855	729		old_locus_tag=MC195_01855
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	359256	359984	+	WP_003660296.1	WP_003660296.1		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD	66585262	MC195_RS01855	729	242	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	359989	362517	+						66585263	MC195_RS01860	2529		old_locus_tag=MC195_01860
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	359989	362517	+	WP_081569761.1	WP_081569761.1		ComEC/Rec2 family competence protein		66585263	MC195_RS01860	2529	842	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	362613	363641	+					sppA	66585264	MC195_RS01865	1029		old_locus_tag=MC195_01865
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	362613	363641	+	WP_003657532.1	WP_003657532.1		signal peptide peptidase SppA	sppA	66585264	MC195_RS01865	1029	342	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	363759	364061	-						66585265	MC195_RS01870	303		old_locus_tag=MC195_01870
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	363759	364061	-	WP_003657531.1	WP_003657531.1		hypothetical protein		66585265	MC195_RS01870	303	100	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	364368	366824	+						66585266	MC195_RS01875	2457		old_locus_tag=MC195_01875
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	364368	366824	+	WP_081569762.1	WP_081569762.1		TonB-dependent receptor		66585266	MC195_RS01875	2457	818	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	367142	367498	+						66585267	MC195_RS01880	357		old_locus_tag=MC195_01880
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	367142	367498	+	WP_003657528.1	WP_003657528.1		DUF4298 domain-containing protein		66585267	MC195_RS01880	357	118	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	367542	368249	-						66585268	MC195_RS01885	708		old_locus_tag=MC195_01885
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	367542	368249	-	WP_003657527.1	WP_003657527.1		epoxyqueuosine reductase QueH		66585268	MC195_RS01885	708	235	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	368592	370079	+						66585269	MC195_RS01890	1488		old_locus_tag=MC195_01890
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	368592	370079	+	WP_003665385.1	WP_003665385.1		ABC transporter permease		66585269	MC195_RS01890	1488	495	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	370080	371006	+					oppC	66585270	MC195_RS01895	927		old_locus_tag=MC195_01895
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	370080	371006	+	WP_081569763.1	WP_081569763.1		oligopeptide ABC transporter permease OppC	oppC	66585270	MC195_RS01895	927	308	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	371043	372089	+						66585271	MC195_RS01900	1047		old_locus_tag=MC195_01900
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	371043	372089	+	WP_042510401.1	WP_042510401.1		ABC transporter ATP-binding protein		66585271	MC195_RS01900	1047	348	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	372147	373115	+						66585272	MC195_RS01905	969		old_locus_tag=MC195_01905
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	372147	373115	+	WP_003672712.1	WP_003672712.1		ABC transporter ATP-binding protein		66585272	MC195_RS01905	969	322	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	373320	375359	+						66585273	MC195_RS01910	2040		old_locus_tag=MC195_01910
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	373320	375359	+	WP_003664248.1	WP_003664248.1		peptide ABC transporter substrate-binding protein		66585273	MC195_RS01910	2040	679	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	375427	375783	-						66585274	MC195_RS01915	357		old_locus_tag=MC195_01915
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	375427	375783	-	WP_003672711.1	WP_003672711.1		MliC family protein		66585274	MC195_RS01915	357	118	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	376064	376474	-						66585275	MC195_RS01920	411		old_locus_tag=MC195_01920
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	376064	376474	-	WP_003657518.1	WP_003657518.1		hypothetical protein		66585275	MC195_RS01920	411	136	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	377032	378066	+						66585276	MC195_RS01925	1035		old_locus_tag=MC195_01925
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	377032	378066	+	WP_003660281.1	WP_003660281.1		porin		66585276	MC195_RS01925	1035	344	
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378288	378363	-						66585277	MC195_RS01930	76		old_locus_tag=MC195_01930
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378288	378363	-				tRNA-Asn		66585277	MC195_RS01930	76		anticodon=GTT
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378368	378443	-						66585278	MC195_RS01935	76		old_locus_tag=MC195_01935
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378368	378443	-				tRNA-Lys		66585278	MC195_RS01935	76		anticodon=TTT
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378464	378539	-						66585279	MC195_RS01940	76		old_locus_tag=MC195_01940
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378464	378539	-				tRNA-Lys		66585279	MC195_RS01940	76		anticodon=TTT
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378664	379707	-					holA	66585280	MC195_RS01945	1044		old_locus_tag=MC195_01945
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	378664	379707	-	WP_003660280.1	WP_003660280.1		DNA polymerase III subunit delta	holA	66585280	MC195_RS01945	1044	347	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	379710	380216	-						66585281	MC195_RS01950	507		old_locus_tag=MC195_01950
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	379710	380216	-	WP_003657513.1	WP_003657513.1		hypothetical protein		66585281	MC195_RS01950	507	168	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	380216	382852	-					leuS	66585282	MC195_RS01955	2637		old_locus_tag=MC195_01955
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	380216	382852	-	WP_065251917.1	WP_065251917.1		leucine--tRNA ligase	leuS	66585282	MC195_RS01955	2637	878	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	382972	383325	+						66585283	MC195_RS01960	354		old_locus_tag=MC195_01960
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	382972	383325	+	WP_003660276.1	WP_003660276.1		ArsC/Spx/MgsR family protein		66585283	MC195_RS01960	354	117	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	383363	384160	-						66585284	MC195_RS01965	798		old_locus_tag=MC195_01965
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	383363	384160	-	WP_003660275.1	WP_003660275.1		PAP2 family lipid A phosphatase		66585284	MC195_RS01965	798	265	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	384206	385804	-						66585285	MC195_RS01970	1599		old_locus_tag=MC195_01970
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	384206	385804	-	WP_237049746.1	WP_237049746.1		phosphoethanolamine--lipid A transferase		66585285	MC195_RS01970	1599	532	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	386022	387170	-					tgt	66585286	MC195_RS01975	1149		old_locus_tag=MC195_01975
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	386022	387170	-	WP_003657508.1	WP_003657508.1		tRNA guanosine(34) transglycosylase Tgt	tgt	66585286	MC195_RS01975	1149	382	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	387287	388360	-					queA	66585287	MC195_RS01980	1074		old_locus_tag=MC195_01980
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	387287	388360	-	WP_003657507.1	WP_003657507.1		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA	66585287	MC195_RS01980	1074	357	
gene	pseudogene	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	388881	389726	+						66585288	MC195_RS01985	846		partial;pseudo;old_locus_tag=MC195_01985
CDS	without_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	388881	389726	+				Mrp/NBP35 family ATP-binding protein		66585288	MC195_RS01985	846		partial;pseudo
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	389817	390275	-						66585289	MC195_RS01990	459		old_locus_tag=MC195_01990
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	389817	390275	-	WP_003660272.1	WP_003660272.1		hypothetical protein		66585289	MC195_RS01990	459	152	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	390470	392242	-						66585290	MC195_RS01995	1773		old_locus_tag=MC195_01995
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	390470	392242	-	WP_081569765.1	WP_081569765.1		sodium:solute symporter family protein		66585290	MC195_RS01995	1773	590	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	392246	392512	-						66585291	MC195_RS02000	267		old_locus_tag=MC195_02000
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	392246	392512	-	WP_003664568.1	WP_003664568.1		DUF4212 domain-containing protein		66585291	MC195_RS02000	267	88	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	392862	394478	+						66585292	MC195_RS02005	1617		old_locus_tag=MC195_02005
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	392862	394478	+	WP_250638055.1	WP_250638055.1		TonB-dependent receptor		66585292	MC195_RS02005	1617	538	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	394361	394684	+						72657030	MC195_RS10005	324		
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	394361	394684	+	WP_250638056.1	WP_250638056.1		TonB-dependent receptor		72657030	MC195_RS10005	324	107	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	394861	396447	-						66585293	MC195_RS02010	1587		old_locus_tag=MC195_02010
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	394861	396447	-	WP_081569766.1	WP_081569766.1		carbon starvation protein A		66585293	MC195_RS02010	1587	528	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	396741	399593	-					gcvP	66585294	MC195_RS02015	2853		old_locus_tag=MC195_02015
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	396741	399593	-	WP_003670518.1	WP_003670518.1		aminomethyl-transferring glycine dehydrogenase	gcvP	66585294	MC195_RS02015	2853	950	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	399831	400211	-					gcvH	66585295	MC195_RS02020	381		old_locus_tag=MC195_02020
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	399831	400211	-	WP_003665406.1	WP_003665406.1		glycine cleavage system protein GcvH	gcvH	66585295	MC195_RS02020	381	126	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	400515	401615	-					gcvT	66585296	MC195_RS02025	1101		old_locus_tag=MC195_02025
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	400515	401615	-	WP_003670339.1	WP_003670339.1		glycine cleavage system aminomethyltransferase GcvT	gcvT	66585296	MC195_RS02025	1101	366	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	402141	402461	+						66585297	MC195_RS02030	321		old_locus_tag=MC195_02030
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	402141	402461	+	WP_003660261.1	WP_003660261.1		YcgL domain-containing protein		66585297	MC195_RS02030	321	106	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	402579	403064	+						66585298	MC195_RS02035	486		old_locus_tag=MC195_02035
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	402579	403064	+	WP_003657493.1	WP_003657493.1		hypothetical protein		66585298	MC195_RS02035	486	161	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403307	403708	+					rpsF	66585299	MC195_RS02040	402		old_locus_tag=MC195_02040
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403307	403708	+	WP_003657492.1	WP_003657492.1		30S ribosomal protein S6	rpsF	66585299	MC195_RS02040	402	133	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403724	403951	+					rpsR	66585300	MC195_RS02045	228		old_locus_tag=MC195_02045
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403724	403951	+	WP_003657491.1	WP_003657491.1		30S ribosomal protein S18	rpsR	66585300	MC195_RS02045	228	75	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403968	404447	+					rplI	66585301	MC195_RS02050	480		old_locus_tag=MC195_02050
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	403968	404447	+	WP_003665413.1	WP_003665413.1		50S ribosomal protein L9	rplI	66585301	MC195_RS02050	480	159	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	404896	405807	+						66585302	MC195_RS02055	912		old_locus_tag=MC195_02055
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	404896	405807	+	WP_003670344.1	WP_003670344.1		DUF4377 domain-containing protein		66585302	MC195_RS02055	912	303	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	405994	406539	+						66585303	MC195_RS02060	546		old_locus_tag=MC195_02060
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	405994	406539	+	WP_003657488.1	WP_003657488.1		NAD(P)H-dependent oxidoreductase		66585303	MC195_RS02060	546	181	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	406684	407526	+						66585304	MC195_RS02065	843		old_locus_tag=MC195_02065
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	406684	407526	+	WP_003660259.1	WP_003660259.1		ion transporter		66585304	MC195_RS02065	843	280	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	407530	408249	+						66585305	MC195_RS02070	720		old_locus_tag=MC195_02070
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	407530	408249	+	WP_003660258.1	WP_003660258.1		rhomboid family intramembrane serine protease		66585305	MC195_RS02070	720	239	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	408293	408706	-					argB	66585306	MC195_RS02075	414		old_locus_tag=MC195_02075
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	408293	408706	-	WP_003670346.1	WP_003670346.1		acetylglutamate kinase	argB	66585306	MC195_RS02075	414	137	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	408999	409463	-					dut	66585307	MC195_RS02080	465		old_locus_tag=MC195_02080
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	408999	409463	-	WP_003665418.1	WP_003665418.1		dUTP diphosphatase	dut	66585307	MC195_RS02080	465	154	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	409604	410050	-					secB	66585308	MC195_RS02085	447		old_locus_tag=MC195_02085
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	409604	410050	-	WP_003657482.1	WP_003657482.1		protein-export chaperone SecB	secB	66585308	MC195_RS02085	447	148	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410094	410369	-					grxC	66585309	MC195_RS02090	276		old_locus_tag=MC195_02090
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410094	410369	-	WP_003660255.1	WP_003660255.1		glutaredoxin 3	grxC	66585309	MC195_RS02090	276	91	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410476	410889	-						66585310	MC195_RS02095	414		old_locus_tag=MC195_02095
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410476	410889	-	WP_003657479.1	WP_003657479.1		rhodanese-like domain-containing protein		66585310	MC195_RS02095	414	137	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410990	412105	-					rsgA	66585311	MC195_RS02100	1116		old_locus_tag=MC195_02100
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	410990	412105	-	WP_081569767.1	WP_081569767.1		ribosome small subunit-dependent GTPase A	rsgA	66585311	MC195_RS02100	1116	371	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	412415	414439	+						66585312	MC195_RS02105	2025		old_locus_tag=MC195_02105
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	412415	414439	+	WP_042510549.1	WP_042510549.1		UvrD-helicase domain-containing protein		66585312	MC195_RS02105	2025	674	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	414557	415729	-						66585313	MC195_RS02110	1173		old_locus_tag=MC195_02110
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	414557	415729	-	WP_003660250.1	WP_003660250.1		MFS transporter		66585313	MC195_RS02110	1173	390	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	416007	417263	+						66585314	MC195_RS02115	1257		old_locus_tag=MC195_02115
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	416007	417263	+	WP_003673970.1	WP_003673970.1		FAD-dependent monooxygenase		66585314	MC195_RS02115	1257	418	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	417304	417681	+						66585315	MC195_RS02120	378		old_locus_tag=MC195_02120
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	417304	417681	+	WP_003657472.1	WP_003657472.1		CidA/LrgA family protein		66585315	MC195_RS02120	378	125	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	417687	418403	+						66585316	MC195_RS02125	717		old_locus_tag=MC195_02125
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	417687	418403	+	WP_003657471.1	WP_003657471.1		LrgB family protein		66585316	MC195_RS02125	717	238	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	418505	418777	-						66586784	MC195_RS09755	273		
